Disb_Month,Media_source,stream_media_source,Business,Subbusiness,Org_Inorg,TotalDisbursalAmt,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,Total_Downloads
2025-04-30,PLCS T2,INTERGAMEBE_INT,PLCS,PLCS,Organic,148538,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2025-05-31,CD SOUTH WEST,MAGADS_INT,Insurance,HI,Organic,12240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2025-12-31,2W SW,XIAOMIGLOBAL_INT,PPI_TXN,PPI_TXN,Organic,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-05-31,CD SBU,APPLABS_INT,BAJAJ PRIME,BAJAJ PRIME,Organic,2097,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-31,DPF GROWTH,MAGADS_INT,CPR,CPR,Organic,500,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025-12-31,SALPL PRIME,GOOGLEADWORDS_INT,FASTAG_ISSUED,FASTAG_ISSUED,Organic,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-12-31,RPPL,LIFTOFF_INT,UPI_TXN,UPI_TXN,Organic,159871,0,32,71,18,7,12,0,0,0,0,0,0,0,0,140
2025-12-31,SALPL GROWTH,MOLOCO_INT,BBPS_TXN,BBPS_TXN,Organic,61192,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10
2025-05-31,ASO,HELLOGAMEH1_INT,Gold Loan,RGL,Inorganic,332216,0,2,1,0,0,1,0,0,0,0,0,0,0,0,4
2025-12-31,RPPL,NONE,PPI_TXN,PPI_TXN,Organic,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-12-31,RCTW,DATALIFTRETARGETING_INT,UPI_SETUP,UPI_SETUP,Organic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-12-31,SERVICE DELIVERY,NAKAMEDIA_INT,UPI_SETUP,UPI_SETUP,Organic,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2025-05-31,REMI,XORAPPS_INT,EMI Card,IEMI,Organic,1060,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2025-12-31,RPR,GOOGLEADWORDS_INT,FASTAG_ISSUED,FASTAG_ISSUED,Organic,400,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2025-04-30,DPF GROWTH,SOKENDEV_INT,B2B,B2B,Organic,33949,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2025-12-31,SERVICE DELIVERY,STEELETEAC2_INT,BBPS_TXN,BBPS_TXN,Organic,899,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2025-04-30,DMS,SPORTSGUR44_INT,PLCS,PLCS,Organic,137057,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
2025-04-30,SERVICE DELIVERY,SERVICE PMO,PLCS,PLCS,Organic,851512,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2025-05-31,ASO,RESTRICTED,PLCS,PLCS,Inorganic,4192634,0,1,1,2,0,5,3,0,10,4,0,3,4,6,39
2025-05-31,WEB BUSINESS,3IN1_APP_DOWNLOADS_PL_THANK YOU PAGE,EMI Card,IEMI,Organic,530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-12-31,CD SOUTH WEST,SHARECHAT_INT,BBPS_TXN,BBPS_TXN,Organic,27313,0,0,6,0,4,4,3,1,0,0,0,1,0,1,20
2025-12-31,SERVICE DELIVERY,GLOBALLINJW_INT,PPI_TXN,PPI_TXN,Organic,10020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2025-12-31,RPL EMERGING,DESMOB_INT,WALLET_SETUP,WALLET_SETUP,Organic,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
2025-05-31,GOLD LOAN,MINTEGRAL_INT,Gold Loan,RGL,Organic,1716966,8,1,2,1,0,0,0,0,0,0,0,0,0,0,12
2025-04-30,DMS,BOBBLET9J_INT,PLCS,PLCS,Organic,296190,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
2025-04-30,PROF SAL,BOBBLET9J_INT,SME,PL PPL,Organic,84844,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-12-31,SERVICE DELIVERY,CANYONWATZPK_INT,UPI_SETUP,UPI_SETUP,Organic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-12-31,SERVICE DELIVERY,MOBISATURN_INT,UPI_SETUP,UPI_SETUP,Organic,10,0,9,1,0,0,0,0,0,0,0,0,0,0,0,10
2025-12-31,DPF GROWTH,APPLABS_INT,UPI_TXN,UPI_TXN,Organic,1852096,308,80,331,276,239,168,155,128,86,75,19,50,22,0,1937
2025-12-31,CD NORTH EAST,BIDROIDAGENCY,WALLET_SETUP,WALLET_SETUP,Organic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-04-30,DMS,ENAAA4P_INT,BAJAJ PRIME,BAJAJ PRIME,Organic,699,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-05-31,GOLD LOAN,INTERGAMEBE_INT,Gold Loan,RGL,Organic,54356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-05-31,CREDIT CARD DBS,MOLOCO_INT,Gold Loan,RGL,Organic,76700,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2025-05-31,PLCS CL,PLCS CL,Insurance,HI,Organic,51957,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3
2025-12-31,CD SBU,ARAZIMEDIT6K_INT,BBPS_TXN,BBPS_TXN,Organic,5916,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2025-12-31,RCD NW,WEBFLUXMEUJG_INT,PPI_TXN,PPI_TXN,Organic,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-30,INSURANCE DISTRIBUTION,ORGANIC,CPR,CPR,Organic,19000,11,7,5,5,3,0,0,2,2,0,0,3,0,0,38
2025-05-31,GOLD LOAN,GLOBALEMEDIA_INT,B2B,B2B,Organic,14500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-30,PROF LOANS,BOBBLET9J_INT,CPR,CPR,Organic,500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-30,DPF GROWTH,MDSP_INT,EMI Card,IEMI,Organic,530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-05-31,DPF GROWTH,DATALIFTRETARGETING_INT,CPR,CPR,Organic,500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2025-04-30,SERVICE DELIVERY,TEXASRAWBQF_INT,EMI Card,IEMI,Organic,1060,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
